        AOA          AOAHT        ELEV         ETAB         DYNP        FXHT         FZHT         MYHT         FXE          FZE          MYE          FXWB         FZWB         MYWB         FXTAB        FZTAB        MYTAB        
       2.482      -44.100       -6.661        7.859         4604   2.9417e+03  -9.6484e+04   9.6485e+05   2.3949e+02  -8.0348e+03   8.0327e+04   1.9844e+05  -7.0896e+05   2.5617e+05  -1.7056e+01   3.9344e+02  -3.9550e+03
       2.482        6.835       -6.661        7.282         4604  -4.5629e+02   1.4955e+04  -1.4955e+05   2.3949e+02  -8.0348e+03   8.0327e+04   2.3999e+03   1.7377e+05  -1.4652e+04  -1.5803e+01   3.6454e+02  -3.6646e+03
       2.482       12.953       -6.661        7.213         4604  -8.6444e+02   2.8340e+04  -2.8340e+05   2.3949e+02  -8.0348e+03   8.0327e+04   8.9376e+03   2.8110e+05  -1.4662e+04  -1.5653e+01   3.6107e+02  -3.6297e+03
       2.482       12.554       -6.661        7.217         4604  -8.3779e+02   2.7466e+04  -2.7466e+05   2.3949e+02  -8.0348e+03   8.0327e+04   8.3138e+03   2.7408e+05  -1.4874e+04  -1.5662e+01   3.6130e+02  -3.6319e+03
     -19.551       32.360       -6.661        6.993         4604   1.6424e+04   6.8901e+04  -6.1362e+05  -1.8693e+03  -7.8180e+03   6.9603e+04   2.2759e+05   4.4918e+05   2.1986e+05   1.1726e+02   3.3019e+02  -2.7837e+03
     -19.551      -13.449       -6.661        7.512         4604  -6.8265e+03  -2.8636e+04   2.5502e+05  -1.8693e+03  -7.8180e+03   6.9603e+04  -6.4771e+04  -2.9677e+05  -5.7437e+04   1.2596e+02   3.5470e+02  -2.9904e+03
     -19.551      -13.452       -6.661        7.512         4604  -6.8280e+03  -2.8642e+04   2.5508e+05  -1.8693e+03  -7.8180e+03   6.9603e+04  -6.4779e+04  -2.9682e+05  -5.7442e+04   1.2596e+02   3.5470e+02  -2.9904e+03
     -19.551      -13.185       -6.661        7.509         4604  -6.6924e+03  -2.8074e+04   2.5002e+05  -1.8693e+03  -7.8180e+03   6.9603e+04  -6.4063e+04  -2.9212e+05  -5.6977e+04   1.2591e+02   3.5456e+02  -2.9892e+03
     -19.537       32.370       -6.661        6.993         4604   1.6418e+04   6.8924e+04  -6.1388e+05  -1.8680e+03  -7.8183e+03   6.9611e+04   2.2762e+05   4.4945e+05   2.1987e+05   1.1718e+02   3.3021e+02  -2.7843e+03
     -19.537      -13.437       -6.661        7.512         4604  -6.8155e+03  -2.8611e+04   2.5482e+05  -1.8680e+03  -7.8183e+03   6.9611e+04  -6.4655e+04  -2.9649e+05  -5.7327e+04   1.2587e+02   3.5473e+02  -2.9910e+03
     -19.537      -13.433       -6.661        7.512         4604  -6.8137e+03  -2.8603e+04   2.5475e+05  -1.8680e+03  -7.8183e+03   6.9611e+04  -6.4645e+04  -2.9643e+05  -5.7321e+04   1.2587e+02   3.5472e+02  -2.9909e+03
     -19.537      -13.166       -6.661        7.509         4604  -6.6783e+03  -2.8035e+04   2.4969e+05  -1.8680e+03  -7.8183e+03   6.9611e+04  -6.3930e+04  -2.9173e+05  -5.6855e+04   1.2582e+02   3.5458e+02  -2.9897e+03
     -19.539      -59.247       -6.661        8.031         4604  -3.0053e+04  -1.2615e+05   1.1236e+06  -1.8682e+03  -7.8183e+03   6.9610e+04  -1.5773e+04  -1.1636e+06   6.2644e+04   1.3459e+02   3.7923e+02  -3.1975e+03
     -19.539      -13.438       -6.661        7.512         4604  -6.8170e+03  -2.8614e+04   2.5484e+05  -1.8682e+03  -7.8183e+03   6.9610e+04  -6.4672e+04  -2.9653e+05  -5.7343e+04   1.2589e+02   3.5472e+02  -2.9909e+03
     -19.539      -13.441       -6.661        7.512         4604  -6.8181e+03  -2.8618e+04   2.5489e+05  -1.8682e+03  -7.8183e+03   6.9610e+04  -6.4678e+04  -2.9656e+05  -5.7347e+04   1.2589e+02   3.5472e+02  -2.9909e+03
     -19.539      -13.706       -6.661        7.515         4604  -6.9528e+03  -2.9184e+04   2.5992e+05  -1.8682e+03  -7.8183e+03   6.9610e+04  -6.5378e+04  -3.0124e+05  -5.7796e+04   1.2594e+02   3.5486e+02  -2.9921e+03
     -19.541       32.367       -6.661        6.993         4604   1.6420e+04   6.8917e+04  -6.1380e+05  -1.8684e+03  -7.8182e+03   6.9608e+04   2.2761e+05   4.4936e+05   2.1987e+05   1.1720e+02   3.3021e+02  -2.7841e+03
     -19.541      -13.442       -6.661        7.512         4604  -6.8194e+03  -2.8621e+04   2.5490e+05  -1.8684e+03  -7.8182e+03   6.9608e+04  -6.4694e+04  -2.9660e+05  -5.7363e+04   1.2590e+02   3.5472e+02  -2.9908e+03
     -19.541      -13.442       -6.661        7.512         4604  -6.8196e+03  -2.8621e+04   2.5491e+05  -1.8684e+03  -7.8182e+03   6.9608e+04  -6.4695e+04  -2.9660e+05  -5.7363e+04   1.2590e+02   3.5472e+02  -2.9908e+03
     -19.541      -13.175       -6.661        7.509         4604  -6.6841e+03  -2.8053e+04   2.4984e+05  -1.8684e+03  -7.8182e+03   6.9608e+04  -6.3979e+04  -2.9190e+05  -5.6898e+04   1.2585e+02   3.5458e+02  -2.9896e+03
     -19.534       32.372       -6.661        6.993         4604   1.6416e+04   6.8930e+04  -6.1394e+05  -1.8677e+03  -7.8184e+03   6.9613e+04   2.2763e+05   4.4951e+05   2.1988e+05   1.1716e+02   3.3022e+02  -2.7844e+03
     -19.534      -13.435       -6.661        7.512         4604  -6.8133e+03  -2.8606e+04   2.5479e+05  -1.8677e+03  -7.8184e+03   6.9613e+04  -6.4630e+04  -2.9644e+05  -5.7302e+04   1.2585e+02   3.5473e+02  -2.9911e+03
     -19.534      -13.431       -6.661        7.512         4604  -6.8115e+03  -2.8599e+04   2.5472e+05  -1.8677e+03  -7.8184e+03   6.9613e+04  -6.4620e+04  -2.9638e+05  -5.7296e+04   1.2585e+02   3.5473e+02  -2.9911e+03
     -19.534      -13.164       -6.661        7.509         4604  -6.6760e+03  -2.8030e+04   2.4966e+05  -1.8677e+03  -7.8184e+03   6.9613e+04  -6.3905e+04  -2.9168e+05  -5.6831e+04   1.2580e+02   3.5459e+02  -2.9899e+03
     -19.536       32.371       -6.661        6.993         4604   1.6417e+04   6.8926e+04  -6.1390e+05  -1.8679e+03  -7.8183e+03   6.9612e+04   2.2762e+05   4.4947e+05   2.1987e+05   1.1717e+02   3.3022e+02  -2.7843e+03
     -19.536      -13.436       -6.661        7.512         4604  -6.8148e+03  -2.8609e+04   2.5481e+05  -1.8679e+03  -7.8183e+03   6.9612e+04  -6.4647e+04  -2.9647e+05  -5.7319e+04   1.2587e+02   3.5473e+02  -2.9910e+03
     -19.536      -13.433       -6.661        7.512         4604  -6.8130e+03  -2.8602e+04   2.5474e+05  -1.8679e+03  -7.8183e+03   6.9612e+04  -6.4637e+04  -2.9641e+05  -5.7313e+04   1.2587e+02   3.5473e+02  -2.9910e+03
     -19.536      -13.166       -6.661        7.509         4604  -6.6775e+03  -2.8033e+04   2.4968e+05  -1.8679e+03  -7.8183e+03   6.9612e+04  -6.3922e+04  -2.9171e+05  -5.6848e+04   1.2582e+02   3.5458e+02  -2.9898e+03
     -19.538       32.369       -6.661        6.993         4604   1.6418e+04   6.8922e+04  -6.1386e+05  -1.8681e+03  -7.8183e+03   6.9610e+04   2.2762e+05   4.4943e+05   2.1987e+05   1.1718e+02   3.3021e+02  -2.7842e+03
     -19.538      -13.438       -6.661        7.512         4604  -6.8163e+03  -2.8612e+04   2.5483e+05  -1.8681e+03  -7.8183e+03   6.9610e+04  -6.4664e+04  -2.9651e+05  -5.7335e+04   1.2588e+02   3.5472e+02  -2.9909e+03
     -19.538      -13.434       -6.661        7.512         4604  -6.8145e+03  -2.8605e+04   2.5477e+05  -1.8681e+03  -7.8183e+03   6.9610e+04  -6.4654e+04  -2.9645e+05  -5.7329e+04   1.2588e+02   3.5472e+02  -2.9909e+03
     -19.538      -13.167       -6.661        7.509         4604  -6.6790e+03  -2.8036e+04   2.4970e+05  -1.8681e+03  -7.8183e+03   6.9610e+04  -6.3939e+04  -2.9175e+05  -5.6864e+04   1.2583e+02   3.5458e+02  -2.9897e+03
     -19.540       32.368       -6.661        6.993         4604   1.6419e+04   6.8919e+04  -6.1382e+05  -1.8683e+03  -7.8182e+03   6.9609e+04   2.2761e+05   4.4938e+05   2.1987e+05   1.1720e+02   3.3021e+02  -2.7842e+03
     -19.540      -13.439       -6.661        7.512         4604  -6.8178e+03  -2.8615e+04   2.5486e+05  -1.8683e+03  -7.8182e+03   6.9609e+04  -6.4681e+04  -2.9655e+05  -5.7352e+04   1.2589e+02   3.5472e+02  -2.9908e+03
     -19.540      -13.436       -6.661        7.512         4604  -6.8160e+03  -2.8608e+04   2.5479e+05  -1.8683e+03  -7.8182e+03   6.9609e+04  -6.4671e+04  -2.9648e+05  -5.7346e+04   1.2589e+02   3.5472e+02  -2.9908e+03
     -19.540      -13.169       -6.661        7.509         4604  -6.6805e+03  -2.8039e+04   2.4973e+05  -1.8683e+03  -7.8182e+03   6.9609e+04  -6.3956e+04  -2.9178e+05  -5.6880e+04   1.2584e+02   3.5457e+02  -2.9896e+03
     -19.543       32.366       -6.661        6.993         4604   1.6420e+04   6.8915e+04  -6.1378e+05  -1.8685e+03  -7.8182e+03   6.9608e+04   2.2761e+05   4.4934e+05   2.1987e+05   1.1721e+02   3.3020e+02  -2.7841e+03
     -19.543      -13.441       -6.661        7.512         4604  -6.8193e+03  -2.8618e+04   2.5488e+05  -1.8685e+03  -7.8182e+03   6.9608e+04  -6.4698e+04  -2.9658e+05  -5.7368e+04   1.2591e+02   3.5472e+02  -2.9907e+03
     -19.543      -13.437       -6.661        7.512         4604  -6.8175e+03  -2.8611e+04   2.5481e+05  -1.8685e+03  -7.8182e+03   6.9608e+04  -6.4688e+04  -2.9652e+05  -5.7362e+04   1.2591e+02   3.5471e+02  -2.9907e+03
     -19.543      -13.170       -6.661        7.509         4604  -6.6820e+03  -2.8042e+04   2.4975e+05  -1.8685e+03  -7.8182e+03   6.9608e+04  -6.3973e+04  -2.9182e+05  -5.6897e+04   1.2586e+02   3.5457e+02  -2.9895e+03
     -19.545       32.365       -6.661        6.993         4604   1.6421e+04   6.8912e+04  -6.1374e+05  -1.8687e+03  -7.8182e+03   6.9606e+04   2.2760e+05   4.4930e+05   2.1987e+05   1.1722e+02   3.3020e+02  -2.7840e+03
     -19.545      -13.442       -6.661        7.512         4604  -6.8208e+03  -2.8621e+04   2.5490e+05  -1.8687e+03  -7.8182e+03   6.9606e+04  -6.4715e+04  -2.9662e+05  -5.7385e+04   1.2592e+02   3.5471e+02  -2.9906e+03
