PERIOD:       0.6015 | LENGTH:      52.1500 | SIMULATED TIME:       0.9144 | NPS:      459
      TIME         U            AOAWBTOT     AOAWB        AOAWB_G      AOAHT        AOAHT_G      U            W            Q            UP           WP           FX           FZ           MY           NX           NZ           
     0.00000       0.0000       2.4822       2.4822       0.0000       1.7073       0.0000      86.6186       3.7550       0.0000       0.0000       0.0000     -20084.2      82094.3         -0.0      -0.2376       0.9714
     0.00000       0.0000       2.4822       2.4822       0.0000       1.7073       0.0000      86.6186       3.7550       0.0000      -4.6609       0.0000     -20084.2      82094.3         -0.0      -0.2376       0.9714
     0.00200       0.0022       2.4799       2.4799       0.0000       1.7073       0.0000      86.6093       3.7550      -0.0000      -4.6604      -0.0051     -20079.9      82050.1         42.1      -0.2376       0.9714
     0.00400       0.0088       2.4799       2.4799       0.0000       1.7057       0.0000      86.6047       3.7549       0.0000      -4.6604      -0.0052     -20079.9      82050.0         42.0      -0.2376       0.9708
     0.00600       0.0197       2.4799       2.4799       0.0000       1.7057       0.0000      86.6000       3.7549       0.0000      -4.6604      -0.0053     -20079.9      82049.9         41.9      -0.2376       0.9708
     0.00800       0.0351       2.4799       2.4799       0.0000       1.7057       0.0000      86.5953       3.7549       0.0000      -4.6604      -0.0053     -20079.8      82049.9         41.8      -0.2376       0.9708
     0.01000       0.0548       2.4799       2.4799       0.0000       1.7057       0.0000      86.5907       3.7549       0.0000      -4.6604      -0.0054     -20079.8      82049.8         41.8      -0.2376       0.9708
     0.01200       0.0789       2.4799       2.4799       0.0000       1.7057       0.0000      86.5860       3.7549       0.0000      -4.6604      -0.0054     -20079.8      82049.8         41.7      -0.2376       0.9708
     0.01400       0.1074       2.4799       2.4799       0.0000       1.7057       0.0000      86.5814       3.7549       0.0000      -4.6604      -0.0054     -20079.8      82049.7         41.6      -0.2376       0.9708
     0.01600       0.1402       2.4799       2.4799       0.0000       1.7057       0.0000      86.5767       3.7549       0.0000      -4.6604      -0.0055     -20079.8      82049.7         41.6      -0.2376       0.9708
     0.01800       0.1773       2.4799       2.4799       0.0000       1.7057       0.0000      86.5720       3.7549       0.0000      -4.6604      -0.0055     -20079.8      82049.6         41.5      -0.2376       0.9708
     0.02000       0.2187       2.4799       2.4799       0.0000       1.7057       0.0000      86.5674       3.7549       0.0000      -4.6604      -0.0056     -20079.8      82049.6         41.4      -0.2376       0.9708
     0.02200       0.2644       2.4799       2.4799       0.0000       1.7057       0.0000      86.5627       3.7549       0.0000      -4.6604      -0.0056     -20079.8      82049.5         41.4      -0.2376       0.9708
     0.02400       0.3144       2.4799       2.4799       0.0000       1.7057       0.0000      86.5581       3.7549       0.0000      -4.6604      -0.0057     -20079.8      82049.4         41.3      -0.2376       0.9708
     0.02600       0.3687       2.4799       2.4799       0.0000       1.7057       0.0000      86.5534       3.7549       0.0000      -4.6604      -0.0057     -20079.8      82049.4         41.2      -0.2376       0.9708
     0.02800       0.4272       2.4799       2.4799       0.0000       1.7057       0.0000      86.5487       3.7549       0.0000      -4.6604      -0.0058     -20079.8      82049.3         41.2      -0.2376       0.9708
     0.03000       0.4899       2.4799       2.4799       0.0000       1.7057       0.0000      86.5441       3.7549       0.0000      -4.6604      -0.0058     -20079.8      82049.3         41.1      -0.2376       0.9708
     0.03200       0.5567       2.4799       2.4799       0.0000       1.7057       0.0000      86.5394       3.7549       0.0000      -4.6604      -0.0058     -20079.8      82049.2         41.0      -0.2376       0.9708
     0.03400       0.6277       2.4799       2.4799       0.0000       1.7057       0.0000      86.5348       3.7549       0.0000      -4.6604      -0.0059     -20079.8      82049.1         41.0      -0.2376       0.9708
     0.03600       0.7029       2.4799       2.4798       0.0000       1.7057       0.0000      86.5301       3.7549       0.0000      -4.6604      -0.0059     -20079.8      82049.1         40.9      -0.2376       0.9708
     0.03800       0.7821       2.4798       2.4798       0.0000       1.7057       0.0000      86.5254       3.7548       0.0000      -4.6604      -0.0060     -20079.7      82049.0         40.9      -0.2376       0.9708
     0.04000       0.8653       2.4798       2.4798       0.0000       1.7057       0.0000      86.5208       3.7548       0.0000      -4.6604      -0.0060     -20079.7      82049.0         40.8      -0.2376       0.9708
     0.04200       0.9526       2.4798       2.4798       0.0000       1.7057       0.0000      86.5161       3.7548       0.0000      -4.6604      -0.0061     -20079.7      82048.9         40.7      -0.2376       0.9708
     0.04400       1.0438       2.4798       2.4798       0.0000       1.7057       0.0000      86.5115       3.7548       0.0000      -4.6604      -0.0061     -20079.7      82048.8         40.7      -0.2376       0.9708
     0.04600       1.1390       2.4798       2.4798       0.0000       1.7057       0.0000      86.5068       3.7548       0.0000      -4.6604      -0.0062     -20079.7      82048.8         40.6      -0.2376       0.9708
     0.04800       1.2381       2.4798       2.4798       0.0000       1.7057       0.0000      86.5021       3.7548       0.0000      -4.6604      -0.0062     -20079.7      82048.7         40.6      -0.2376       0.9708
